place,payout,points,username,Player 1,Player 2,Player 3,Player 4,Player 5,Player 6
1,10000,153.46,jasta29,Ja'Marr Chase,Amon-Ra St. Brown,James Cook,Javonte Williams,Jared Goff,Harold Fannin
2,10000,147.86,ad5,Malik Nabers,Amon-Ra St. Brown,Tyler Warren,Jameson Williams,Jared Goff,Kenneth Walker III
3,10000,143.36,oleacg78,Jahmyr Gibbs,Amon-Ra St. Brown,Chuba Hubbard,Rome Odunze,Jake Ferguson,Jared Goff
4,1000,141.96,barsy,Christian McCaffrey,Amon-Ra St. Brown,Alvin Kamara,Rome Odunze,Jared Goff,Jake Ferguson
5,900,141.76,djrj21,Trey McBride,Amon-Ra St. Brown,Chuba Hubbard,Jameson Williams,Jared Goff,Rome Odunze
6,800,140.46,justforfunzo,CeeDee Lamb,Amon-Ra St. Brown,James Cook,Jameson Williams,Jake Ferguson,Jared Goff
7,700,139.56,lenkeith,Christian McCaffrey,Amon-Ra St. Brown,Alvin Kamara,Tyler Warren,Jared Goff,Rome Odunze
8,600,139.46,lofireball15,De'Von Achane,Amon-Ra St. Brown,Chuba Hubbard,Sam LaPorta,Rome Odunze,Jared Goff
9,500,137.86,chris,Jahmyr Gibbs,Amon-Ra St. Brown,Tee Higgins,Tyler Warren,Rome Odunze,Jared Goff
10,400,137.16,lofireball15,Christian McCaffrey,Amon-Ra St. Brown,Travis Kelce,D'Andre Swift,Jared Goff,Rome Odunze
11,300,136.86,jeffern8,Ja'Marr Chase,James Cook,Chuba Hubbard,Jameson Williams,Jared Goff,Juwan Johnson
12,300,135.36,goazcards,Jahmyr Gibbs,James Cook,Amon-Ra St. Brown,Davante Adams,Jared Goff,Brenton Strange
13,300,134.66,hotsizauce,Christian McCaffrey,Amon-Ra St. Brown,Chuba Hubbard,Jameson Williams,Jared Goff,Jake Ferguson
14,300,134.54,twelvefluidounces,Malik Nabers,Amon-Ra St. Brown,Travis Etienne Jr.,Dak Prescott,Jake Ferguson,Jaylen Waddle
15,300,134.4,babyjay248,Trey McBride,Malik Nabers,Chuba Hubbard,Davante Adams,Rome Odunze,Drake Maye
16,200,133.66,nez,Jahmyr Gibbs,Amon-Ra St. Brown,Travis Etienne Jr.,Jameson Williams,Juwan Johnson,Jared Goff
17,200,133.36,patrickbarnesyoutube,Saquon Barkley,Amon-Ra St. Brown,Travis Etienne Jr.,Sam LaPorta,Jared Goff,Rome Odunze
18,200,133.16,krutches93,Saquon Barkley,Amon-Ra St. Brown,Chuba Hubbard,Davante Adams,Jared Goff,Jake Ferguson
19,200,132.76,bestballviper,Puka Nacua,Amon-Ra St. Brown,Javonte Williams,Sam LaPorta,Bhayshul Tuten,Jared Goff
20,200,132.66,bustersboys,Christian McCaffrey,Amon-Ra St. Brown,Tee Higgins,Jameson Williams,Jared Goff,Juwan Johnson
21,100,130.78,jokah03,Jahmyr Gibbs,Amon-Ra St. Brown,Javonte Williams,Tyler Warren,Rome Odunze,Caleb Williams
22,100,130.36,krutches93,Trey McBride,Amon-Ra St. Brown,Travis Etienne Jr.,Davante Adams,Jared Goff,Jaylen Warren
23,100,130,jeffern8,Puka Nacua,Malik Nabers,Javonte Williams,Tyler Warren,Drake Maye,J.K. Dobbins
24,100,129.98,mathology,Christian McCaffrey,Amon-Ra St. Brown,Travis Etienne Jr.,Rome Odunze,Juwan Johnson,Caleb Williams
25,100,129.86,nez,Trey McBride,Amon-Ra St. Brown,Alvin Kamara,Davante Adams,Jameson Williams,Jared Goff
26,50,129.7,nez,Trey McBride,Malik Nabers,Javonte Williams,Davante Adams,Drake Maye,Jameson Williams
27,50,129.66,berettajames,Puka Nacua,Malik Nabers,Alvin Kamara,Travis Kelce,Jameson Williams,Jared Goff
27,50,129.66,burtbra3,Puka Nacua,Malik Nabers,Alvin Kamara,Travis Kelce,Jameson Williams,Jared Goff
29,50,129.5,tonysprocket,De'Von Achane,Amon-Ra St. Brown,Tyler Warren,Drake Maye,Rome Odunze,Kayshon Boutte
30,50,129.26,goazcards,Jahmyr Gibbs,Malik Nabers,Alvin Kamara,Jameson Williams,Juwan Johnson,Jared Goff
31,50,129.16,mlandon093,Ja'Marr Chase,Amon-Ra St. Brown,Alvin Kamara,Tyreek Hill,Sam LaPorta,Jared Goff
32,50,129.06,lofireball15,Jahmyr Gibbs,Amon-Ra St. Brown,James Cook,Travis Kelce,Jared Goff,Chris Olave
32,50,129.06,lee121503,Saquon Barkley,Malik Nabers,Jaxon Smith-Njigba,Jameson Williams,Jared Goff,Juwan Johnson
34,50,128.96,ez116,Jahmyr Gibbs,Malik Nabers,Chuba Hubbard,Tyler Warren,Jameson Williams,Jared Goff
35,50,128.48,tonysprocket,Jahmyr Gibbs,Amon-Ra St. Brown,Chuba Hubbard,Rome Odunze,Caleb Williams,Juwan Johnson
36,50,128.36,dmanwon,Saquon Barkley,Amon-Ra St. Brown,Tyreek Hill,Jared Goff,Rome Odunze,Grant Calcaterra
37,50,128.06,egreenmonster,Ja'Marr Chase,Amon-Ra St. Brown,Jaxon Smith-Njigba,D'Andre Swift,Brenton Strange,Jared Goff
38,50,127.86,dmlarson,Christian McCaffrey,Amon-Ra St. Brown,Jaxon Smith-Njigba,Brenton Strange,Javonte Williams,Jared Goff
39,50,127.24,d4ve,Ja'Marr Chase,Jaxon Smith-Njigba,James Cook,Javonte Williams,Dak Prescott,Jake Ferguson
40,50,127.18,razor33,Jonathan Taylor,Amon-Ra St. Brown,Patrick Mahomes,Javonte Williams,Tyquan Thornton,David Njoku
41,50,126.7,bustersboys,Christian McCaffrey,Amon-Ra St. Brown,Travis Etienne Jr.,Jameson Williams,Drake Maye,Jake Ferguson
42,50,126.66,bestballviper,Puka Nacua,Amon-Ra St. Brown,Travis Etienne Jr.,Sam LaPorta,Jared Goff,Bhayshul Tuten
43,50,126.56,dmlarson,De'Von Achane,Malik Nabers,George Pickens,Sam LaPorta,Jameson Williams,Jared Goff
44,50,126.36,blizzyblaine,Saquon Barkley,Amon-Ra St. Brown,Chuba Hubbard,Jameson Williams,Jared Goff,Harold Fannin
45,50,126.06,justforfunzo,Jahmyr Gibbs,Amon-Ra St. Brown,Sam LaPorta,D.J. Moore,Rome Odunze,Jared Goff
46,50,125.86,housealwayswins,Jahmyr Gibbs,Jonathan Taylor,Tee Higgins,Sam LaPorta,Jared Goff,Rome Odunze
47,50,125.82,chadg20,Jonathan Taylor,Malik Nabers,Tyreek Hill,Davante Adams,Matthew Stafford,Jake Ferguson
48,50,125.34,iamskiman,De'Von Achane,Malik Nabers,George Pickens,Dak Prescott,Rome Odunze,Brenton Strange
49,50,125.26,shagnastyball17,Puka Nacua,Amon-Ra St. Brown,Tony Pollard,Jameson Williams,David Njoku,Jared Goff
